snpsht_dt,pid_pde,rank_pde,dor_cpt,dor_maj,yg,sex,age,job_code,married
3/31/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,27,11A,0
6/30/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
9/30/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
12/31/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
3/31/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
6/30/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
9/30/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
12/31/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
3/31/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
6/30/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
9/30/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
12/31/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
3/31/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
6/30/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,0
9/30/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,0
12/31/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,1
3/31/2008,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,1
6/30/2008,PDE01,CPT,2/1/2004,7/1/2008,2000,1,32,11A,1
9/30/2008,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
12/31/2008,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
3/31/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
6/30/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
9/30/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
12/31/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
3/31/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
6/30/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,34,11A,1
9/30/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,34,11A,1
,,,,,,,,,
3/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,27,11A,0
6/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
9/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
12/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
3/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
6/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
9/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
12/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
