athlete_id,team_id,points,minutes,missing_minutes_rows,missing_points_rows,distinct_games,game_rows,ppm
4665,2029,10.0,57.0,12,12,32,32,0.17543859649122806
27670,2130,43.0,250.0,8,8,32,32,0.172
40988,252,299.0,624.0,1,1,35,35,0.4791666666666667
41005,24,5.0,34.0,27,27,37,37,0.14705882352941177
41690,252,32.0,238.0,12,12,35,35,0.13445378151260504
45582,292,29.0,62.0,28,28,31,31,0.46774193548387094
45809,254,38.0,153.0,11,11,35,35,0.24836601307189543
46078,264,263.0,709.0,4,4,31,31,0.3709449929478138
48699,254,140.0,426.0,1,1,35,35,0.3286384976525822
51005,2803,316.0,1017.0,1,1,31,31,0.3107177974434612
51024,2547,81.0,873.0,1,1,34,34,0.09278350515463918
51032,235,138.0,438.0,1,1,32,32,0.3150684931506849
51033,299,93.0,463.0,1,1,33,33,0.20086393088552915
51036,2413,6.0,26.0,29,29,34,34,0.23076923076923078
51053,2459,291.0,616.0,3,3,30,30,0.4724025974025974
51060,66,348.0,760.0,1,1,34,34,0.45789473684210524
51070,2507,214.0,804.0,2,2,34,34,0.26616915422885573
51079,2567,57.0,122.0,24,24,34,34,0.4672131147540984
51085,302,586.0,934.0,4,4,32,32,0.6274089935760171
51095,2197,13.0,97.0,16,16,33,33,0.13402061855670103
51096,2450,297.0,852.0,2,2,34,34,0.3485915492957746
51108,2309,362.0,1181.0,1,1,35,35,0.3065198983911939
51124,61,382.0,905.0,2,2,33,33,0.4220994475138122
51143,94,242.0,750.0,1,0,30,30,0.32266666666666666
51148,2351,251.0,708.0,5,5,31,31,0.3545197740112994
51150,2351,218.0,824.0,1,1,31,31,0.2645631067961165
51168,2,374.0,752.0,9,9,35,35,0.4973404255319149
51169,2390,40.0,328.0,7,7,38,38,0.12195121951219512
51174,221,17.0,81.0,20,20,34,34,0.20987654320987653
51175,221,242.0,721.0,8,8,34,34,0.3356449375866852
51179,2501,77.0,302.0,17,17,33,33,0.25496688741721857
51183,2502,42.0,112.0,10,10,29,29,0.375
51203,2226,159.0,539.0,10,10,28,28,0.2949907235621521
51208,2541,5.0,36.0,29,29,31,31,0.1388888888888889
51231,2628,218.0,538.0,4,4,33,33,0.4052044609665427
51262,2439,228.0,842.0,1,1,33,33,0.27078384798099764
51263,36,377.0,1013.0,1,1,34,34,0.3721618953603159
51269,41,6.0,20.0,20,20,29,29,0.3
51271,57,201.0,621.0,2,2,33,33,0.32367149758454106
51272,120,128.0,533.0,8,8,35,35,0.2401500938086304
51289,2545,336.0,763.0,3,2,32,32,0.44036697247706424
51295,158,53.0,214.0,14,14,31,31,0.24766355140186916
51298,2344,534.0,1115.0,3,3,34,34,0.4789237668161435
51307,299,258.0,716.0,2,2,33,33,0.36033519553072624
51309,269,419.0,924.0,4,4,32,32,0.45346320346320346
51314,275,180.0,605.0,2,2,40,40,0.2975206611570248
51317,194,72.0,230.0,14,14,35,35,0.3130434782608696
51327,238,52.0,175.0,11,11,35,35,0.29714285714285715
51336,77,128.0,469.0,11,11,32,32,0.27292110874200426
51346,156,240.0,783.0,1,1,33,33,0.3065134099616858
51352,21,352.0,868.0,3,3,36,36,0.4055299539170507
51360,2608,328.0,951.0,1,1,31,31,0.3449001051524711
51371,152,79.0,217.0,8,8,36,36,0.3640552995391705
51373,103,12.0,91.0,14,14,32,32,0.13186813186813187
51377,302,366.0,745.0,1,1,32,32,0.4912751677852349
51380,2674,28.0,105.0,22,22,34,34,0.26666666666666666
51396,526,270.0,675.0,10,10,33,33,0.4
51397,2197,255.0,706.0,2,2,33,33,0.3611898016997167
51401,2247,530.0,923.0,6,6,35,35,0.5742145178764897
51415,195,430.0,963.0,1,1,30,30,0.446521287642783
51425,2065,137.0,573.0,1,1,32,32,0.23909249563699825
51426,140,310.0,832.0,1,1,33,33,0.37259615384615385
51449,277,427.0,938.0,5,5,35,35,0.4552238805970149
51452,2473,104.0,298.0,1,1,33,33,0.348993288590604
51460,2306,330.0,781.0,3,3,32,32,0.4225352112676056
51469,2520,333.0,723.0,6,6,33,33,0.4605809128630705
51473,2750,247.0,817.0,2,2,31,31,0.3023255813953488
51483,249,223.0,781.0,4,4,31,31,0.2855313700384123
51491,309,273.0,623.0,9,9,36,36,0.43820224719101125
51492,197,197.0,792.0,3,3,32,32,0.24873737373737373
51517,8,266.0,734.0,2,1,36,36,0.36239782016348776
51519,248,38.0,149.0,17,17,32,32,0.2550335570469799
51527,2253,262.0,693.0,3,3,32,32,0.37806637806637805
51529,2272,219.0,790.0,1,1,33,33,0.2772151898734177
51536,135,92.0,346.0,2,2,33,33,0.2658959537572254
51552,2097,285.0,776.0,4,4,32,32,0.36726804123711343
51557,2193,27.0,110.0,24,24,30,30,0.24545454545454545
51559,119,162.0,520.0,2,2,32,32,0.31153846153846154
51562,2378,276.0,646.0,10,10,30,30,0.42724458204334365
51563,21,155.0,410.0,16,16,36,36,0.3780487804878049
51564,2443,269.0,615.0,5,5,29,29,0.4373983739837398
51567,2751,234.0,975.0,1,1,35,35,0.24
51575,2546,102.0,322.0,8,8,30,30,0.3167701863354037
51580,526,117.0,479.0,2,2,33,33,0.24425887265135698
51591,2460,2.0,34.0,19,19,35,35,0.058823529411764705
51650,77,25.0,155.0,8,8,32,32,0.16129032258064516
51660,2031,122.0,485.0,1,1,31,31,0.2515463917525773
51665,2065,270.0,943.0,1,1,32,32,0.2863202545068929
51670,252,456.0,1019.0,2,2,35,35,0.4474975466143278
51671,252,369.0,739.0,6,6,35,35,0.4993234100135318
51691,236,75.0,159.0,11,11,32,32,0.4716981132075472
51692,155,63.0,212.0,11,11,30,30,0.2971698113207547
51693,2458,23.0,161.0,22,22,30,30,0.14285714285714285
51694,2565,120.0,442.0,2,2,28,28,0.27149321266968324
51696,171,199.0,573.0,2,2,28,28,0.3472949389179756
51708,2198,38.0,354.0,1,1,33,33,0.10734463276836158
51722,290,200.0,510.0,5,5,30,30,0.39215686274509803
51761,2046,59.0,322.0,14,14,30,30,0.18322981366459629
51781,270,4.0,53.0,20,20,30,30,0.07547169811320754
51786,36,518.0,995.0,3,3,34,34,0.5206030150753769
51798,44,132.0,509.0,12,12,33,33,0.2593320235756385
51805,166,228.0,584.0,12,12,34,34,0.3904109589041096
51807,2239,441.0,898.0,3,3,31,31,0.4910913140311804
51808,2193,37.0,286.0,5,5,30,30,0.12937062937062938
51809,261,83.0,267.0,8,8,34,34,0.31086142322097376
51810,2464,189.0,888.0,1,1,38,38,0.21283783783783783
51813,2168,25.0,76.0,28,28,36,36,0.32894736842105265
51814,56,93.0,507.0,3,3,31,31,0.1834319526627219
51829,261,250.0,694.0,3,3,34,34,0.36023054755043227
51844,27,76.0,261.0,8,8,31,31,0.29118773946360155
51857,2127,389.0,829.0,1,1,31,31,0.4692400482509047
51930,82,454.0,974.0,4,4,34,34,0.46611909650924027
51940,2754,58.0,307.0,6,6,32,32,0.18892508143322476
51962,2050,183.0,466.0,8,8,30,30,0.3927038626609442
51999,2934,57.0,222.0,6,6,33,33,0.25675675675675674
52004,2463,511.0,1072.0,1,1,33,33,0.4766791044776119
