vent,n,draft_rate,perf_mean,perf_median
0,3887,0.0002572678157962439,-1.7931302567569058,-1.7038772623783127
1,3886,0.0002573340195573855,-1.2599490755828582,-1.253686326272646
2,3886,0.002058672156459084,-0.9799702101258854,-0.9765794197837494
3,3886,0.0025733401955738548,-0.7697360996109078,-0.768676797011772
4,3887,0.0033444816053511705,-0.5889982329587179,-0.5882931829373037
5,3886,0.005404014410705095,-0.4285943526286306,-0.42814798555778333
6,3886,0.005661348430262481,-0.27523945331371913,-0.27577118852259846
7,3886,0.009264024704065878,-0.12352404887135988,-0.12257990637186547
8,3887,0.011319783895034732,0.024974032241122594,0.025420655621993117
9,3886,0.016984045290787442,0.1769810335223685,0.17682914880864053
10,3886,0.01878538342768914,0.33703849600925995,0.33737807152229976
11,3886,0.02290272774060731,0.5137906347023153,0.5132124449732101
12,3887,0.03318754823771546,0.7166465453501117,0.7141635062277516
13,3886,0.04014410705095214,0.9621284229517506,0.9583350749518962
14,3886,0.05378281008749357,1.300641253817797,1.289108059772623
15,3886,0.06587750900669069,2.178085747432635,1.964204124413986
