vent,n,draft_rate,poolq_mean,poolq_median
0,3887,0.0012863390789812,-0.7023471494235747,-0.662787596386269
1,3886,0.0123520329387545,-0.4067424604525909,-0.4015705494762267
2,3886,0.0156973751930005,-0.2935886783547475,-0.2920376157973806
3,3886,0.0162120432321152,-0.221045526792763,-0.2203659124792632
4,3887,0.019037818368922,-0.1626703708881379,-0.1624212314933947
5,3886,0.0182707153885743,-0.1128027892283625,-0.1123615516593059
6,3886,0.0198147195059186,-0.0676935738518351,-0.0677137757553053
7,3886,0.0185280494081317,-0.0247648672496535,-0.0247504015946411
8,3887,0.0221250321584769,0.0173011231638814,0.0173776051341556
9,3886,0.0193000514668039,0.0600625345539118,0.060171445467966
10,3886,0.020072053525476,0.10423444669941,0.1040247676168984
11,3886,0.0262480699948533,0.1542986204040654,0.1539453910513279
12,3887,0.0231541034216619,0.2128722010069917,0.2124572954020965
13,3886,0.0252187339166237,0.2853595874685651,0.2847286895354391
14,3886,0.0229027277406073,0.3914798177403189,0.3861066888364191
15,3886,0.0115800308800823,0.7323664405491449,0.6528778185977541
