bin,n,selection_rate,mean_team_mean,knockout
0,938,0.057569296375266525,0.3746464780302296,congestion_in_score
1,937,0.06830309498399147,0.4128088612817151,congestion_in_score
2,938,0.07569296375266525,0.43331622269052916,congestion_in_score
3,937,0.09391675560298826,0.44877579571135173,congestion_in_score
4,938,0.09594882729211088,0.4651456308554331,congestion_in_score
5,937,0.10352187833511206,0.4761928739963517,congestion_in_score
6,938,0.10660980810234541,0.486971085314168,congestion_in_score
7,937,0.11312700106723586,0.49546191165604037,congestion_in_score
8,938,0.11727078891257996,0.5051255168318336,congestion_in_score
9,937,0.11739594450373532,0.5174610409840371,congestion_in_score
10,938,0.13113006396588486,0.5278586667765232,congestion_in_score
11,937,0.11099252934898612,0.53989506149177,congestion_in_score
12,938,0.09808102345415778,0.5528013734249791,congestion_in_score
13,937,0.10992529348986126,0.5701187823577675,congestion_in_score
14,938,0.11194029850746269,0.5914427381253664,congestion_in_score
15,937,0.08858057630736393,0.6327830904526371,congestion_in_score
