bin,n,selection_rate,mean_loo_q,arm,method,rho
0,938,0.0,-1.2803905640495055,rho_very_high,soft,32.0
1,937,0.0,-1.0736743363380483,rho_very_high,soft,32.0
2,938,0.0,-0.9610677539821985,rho_very_high,soft,32.0
3,937,0.0,-0.8471652640796676,rho_very_high,soft,32.0
4,938,0.0,-0.7308246251708908,rho_very_high,soft,32.0
5,937,0.0,-0.6083651441478297,rho_very_high,soft,32.0
6,938,0.0031982942430703624,-0.4948797780852776,rho_very_high,soft,32.0
7,937,0.005336179295624333,-0.3050277008935193,rho_very_high,soft,32.0
8,938,0.09381663113006397,0.12952484144862522,rho_very_high,soft,32.0
9,937,0.20384204909284953,0.457435193371906,rho_very_high,soft,32.0
10,938,0.21855010660980811,0.610525340536137,rho_very_high,soft,32.0
11,937,0.2390608324439701,0.7430184714568756,rho_very_high,soft,32.0
12,938,0.24520255863539445,0.8613371373573725,rho_very_high,soft,32.0
13,937,0.17609391675560299,0.9628217980594439,rho_very_high,soft,32.0
14,938,0.21855010660980811,1.0866105118103855,rho_very_high,soft,32.0
15,937,0.19637139807897544,1.330216934170411,rho_very_high,soft,32.0
