bin,n,selection_rate,mean_loo_q,arm,method,rho
0,938,0.0,-1.9403527249555497,sort_chop,sort_chop,
1,937,0.0,-1.3405380511356313,sort_chop,sort_chop,
2,938,0.0,-1.0235603175776253,sort_chop,sort_chop,
3,937,0.0,-0.7823603887676199,sort_chop,sort_chop,
4,938,0.0,-0.5842745310958809,sort_chop,sort_chop,
5,937,0.0,-0.4089697102496375,sort_chop,sort_chop,
6,938,0.0,-0.2470799619617372,sort_chop,sort_chop,
7,937,0.0,-0.09542022646574268,sort_chop,sort_chop,
8,938,0.0,0.056817018571141166,sort_chop,sort_chop,
9,937,0.0,0.2169297531660016,sort_chop,sort_chop,
10,938,0.0,0.3837779489533393,sort_chop,sort_chop,
11,937,0.9348986125933831,0.5580475250416653,sort_chop,sort_chop,
12,938,0.010660980810234541,0.760888514848836,sort_chop,sort_chop,
13,937,0.0,1.010482047371041,sort_chop,sort_chop,
14,938,0.0,1.3333636984385833,sort_chop,sort_chop,
15,937,0.655282817502668,1.9828580803723037,sort_chop,sort_chop,
