bin,n,selection_rate,mean_team_mean,arm,method,rho
0,938,0.0,0.203153646427988,rho_very_high,soft,32.0
1,937,0.0010672358591248667,0.2375161566395119,rho_very_high,soft,32.0
2,938,0.0,0.263203851204166,rho_very_high,soft,32.0
3,937,0.0032017075773745998,0.2917277119459331,rho_very_high,soft,32.0
4,938,0.0031982942430703624,0.32433508252676435,rho_very_high,soft,32.0
5,937,0.020277481323372464,0.3690995391470489,rho_very_high,soft,32.0
6,938,0.046908315565031986,0.4251420810540684,rho_very_high,soft,32.0
7,937,0.0864461045891142,0.47938462448594704,rho_very_high,soft,32.0
8,938,0.12366737739872068,0.5295418042493023,rho_very_high,soft,32.0
9,937,0.16542155816435433,0.5813860046138659,rho_very_high,soft,32.0
10,938,0.18336886993603413,0.6294957762365229,rho_very_high,soft,32.0
11,937,0.18676627534685167,0.6674305899216044,rho_very_high,soft,32.0
12,938,0.20788912579957355,0.702755660195935,rho_very_high,soft,32.0
13,937,0.21344717182497333,0.7278608830572896,rho_very_high,soft,32.0
14,938,0.2068230277185501,0.7569593411154255,rho_very_high,soft,32.0
15,937,0.15154749199573106,0.798333101393121,rho_very_high,soft,32.0
