vent,bin_display,n,drafts,draft_rate,apgms_min,apgms_max,x_interval,x_median,x_mean
0,1,1276,0,0,1,1.66667,"[1, 1.667]",1.33333,1.29288
1,2,1275,0,0,1.66667,2.66667,"[1.667, 2.667]",2,2.10982
2,3,1275,1,0.000784314,2.66667,4.42857,"[2.667, 4.429]",3.42857,3.45357
3,4,1276,7,0.00548589,4.42857,6.54167,"[4.429, 6.542]",5.5,5.50123
4,5,1275,11,0.00862745,6.54167,8.70588,"[6.542, 8.706]",7.58824,7.61338
5,6,1275,19,0.014902,8.70588,11.1,"[8.706, 11.1]",9.91667,9.90614
6,7,1276,18,0.0141066,11.1,13.7333,"[11.1, 13.73]",12.409,12.4164
7,8,1275,35,0.027451,13.7353,16.5,"[13.74, 16.5]",15.1,15.1172
8,9,1275,41,0.0321569,16.5135,19.1053,"[16.51, 19.11]",17.8333,17.8104
9,10,1276,61,0.0478056,19.1081,21.7097,"[19.11, 21.71]",20.4643,20.4512
10,11,1275,65,0.0509804,21.7143,24.2857,"[21.71, 24.29]",23.1143,23.0619
11,12,1275,90,0.0705882,24.2857,26.6061,"[24.29, 26.61]",25.4839,25.4636
12,13,1276,113,0.088558,26.6061,28.7742,"[26.61, 28.77]",27.7647,27.7305
13,14,1275,173,0.135686,28.7742,30.8667,"[28.77, 30.87]",29.8214,29.8202
14,15,1275,216,0.169412,30.8696,33,"[30.87, 33]",31.8824,31.9071
15,16,1275,285,0.223529,33,39.9429,"[33, 39.94]",34.5484,34.7975
