vent,bin_display,n,drafts,draft_rate,T_apgms_min,T_apgms_max,x_interval,x_median,x_mean,edge_lo,edge_hi,edge_interval
0,1,37,6,0.162162,11.7118,12.3727,"[11.71, 12.37]",11.7118,12.0333,11.7118,12.4683,"[11.71, 12.47)"
1,2,209,18,0.0861244,12.4829,13.1779,"[12.48, 13.18]",12.8373,12.8054,12.4683,13.2249,"[12.47, 13.22)"
2,3,732,57,0.0778689,13.274,13.9801,"[13.27, 13.98]",13.6865,13.7036,13.2249,13.9814,"[13.22, 13.98)"
3,4,1621,118,0.0727946,13.9849,14.738,"[13.98, 14.74]",14.4283,14.3956,13.9814,14.738,"[13.98, 14.74)"
4,5,2554,145,0.0567737,14.7408,15.4926,"[14.74, 15.49]",15.1596,15.1569,14.738,15.4946,"[14.74, 15.49)"
5,6,3244,158,0.0487053,15.501,16.2509,"[15.5, 16.25]",15.8676,15.8797,15.4946,16.2511,"[15.49, 16.25)"
6,7,3440,182,0.052907,16.2513,17.0042,"[16.25, 17]",16.6075,16.6163,16.2511,17.0077,"[16.25, 17.01)"
7,8,2877,155,0.0538756,17.0121,17.7608,"[17.01, 17.76]",17.4102,17.4023,17.0077,17.7643,"[17.01, 17.76)"
8,9,2326,121,0.0520206,17.7648,18.5134,"[17.76, 18.51]",18.1137,18.1232,17.7643,18.5208,"[17.76, 18.52)"
9,10,1472,84,0.0570652,18.5241,19.2767,"[18.52, 19.28]",18.9257,18.9073,18.5208,19.2774,"[18.52, 19.28)"
10,11,920,36,0.0391304,19.3027,20.0213,"[19.3, 20.02]",19.5679,19.6014,19.2774,20.0339,"[19.28, 20.03)"
11,12,552,36,0.0652174,20.0359,20.7886,"[20.04, 20.79]",20.3531,20.359,20.0339,20.7905,"[20.03, 20.79)"
12,13,229,11,0.0480349,20.7972,21.5357,"[20.8, 21.54]",21.087,21.1038,20.7905,21.5471,"[20.79, 21.55)"
13,14,95,3,0.0315789,21.556,22.1508,"[21.56, 22.15]",21.7014,21.8035,21.5471,22.3036,"[21.55, 22.3)"
14,15,49,2,0.0408163,22.5808,22.8349,"[22.58, 22.83]",22.5877,22.672,22.3036,23.0602,"[22.3, 23.06)"
15,16,48,3,0.0625,23.116,23.8168,"[23.12, 23.82]",23.7401,23.6153,23.0602,23.8168,"[23.06, 23.82)"
