vent,bin_display,n,drafts,draft_rate,apgms_min,apgms_max,x_interval,x_median,x_mean,edge_lo,edge_hi,edge_interval
0,1,3195,0,0,1,3.42857,"[1, 3.429]",1.92308,1.96302,1,3.43393,"[1, 3.434)"
1,2,1482,7,0.00472335,3.43478,5.86667,"[3.435, 5.867]",4.61538,4.62249,3.43393,5.86786,"[3.434, 5.868)"
2,3,1474,11,0.00746269,5.875,8.3,"[5.875, 8.3]",7.05882,7.07276,5.86786,8.30179,"[5.868, 8.302)"
3,4,1296,18,0.0138889,8.30435,10.7353,"[8.304, 10.74]",9.48212,9.50236,8.30179,10.7357,"[8.302, 10.74)"
4,5,1224,19,0.0155229,10.7419,13.1667,"[10.74, 13.17]",11.9343,11.9442,10.7357,13.1696,"[10.74, 13.17)"
5,6,1127,28,0.0248447,13.1739,15.6,"[13.17, 15.6]",14.4194,14.3977,13.1696,15.6036,"[13.17, 15.6)"
6,7,1148,34,0.0296167,15.6071,18.0323,"[15.61, 18.03]",16.8333,16.839,15.6036,18.0375,"[15.6, 18.04)"
7,8,1177,36,0.0305862,18.04,20.4706,"[18.04, 20.47]",19.2121,19.2503,18.0375,20.4714,"[18.04, 20.47)"
8,9,1167,61,0.0522708,20.48,22.9032,"[20.48, 22.9]",21.6471,21.6566,20.4714,22.9054,"[20.47, 22.91)"
9,10,1296,79,0.0609568,22.9062,25.3333,"[22.91, 25.33]",24.125,24.1324,22.9054,25.3393,"[22.91, 25.34)"
10,11,1359,104,0.0765269,25.3429,27.7692,"[25.34, 27.77]",26.5357,26.5436,25.3393,27.7732,"[25.34, 27.77)"
11,12,1519,184,0.121132,27.7742,30.2069,"[27.77, 30.21]",29,28.9934,27.7732,30.2071,"[27.77, 30.21)"
12,13,1460,234,0.160274,30.2121,32.6389,"[30.21, 32.64]",31.4062,31.406,30.2071,32.6411,"[30.21, 32.64)"
13,14,1023,199,0.194526,32.6429,35.0714,"[32.64, 35.07]",33.7059,33.7567,32.6411,35.075,"[32.64, 35.08)"
14,15,397,106,0.267003,35.0789,37.5,"[35.08, 37.5]",35.7586,35.9497,35.075,37.5089,"[35.08, 37.51)"
15,16,61,15,0.245902,37.5263,39.9429,"[37.53, 39.94]",38.0606,38.1568,37.5089,39.9429,"[37.51, 39.94)"
