vent,bin_display,n,drafts,draft_rate,T_argms_min,T_argms_max,x_interval,x_median,x_mean
0,1,1276,85,0.0666144,10.7598,12.5508,"[10.76, 12.55]",12.0349,12.0596
1,2,1275,67,0.052549,12.5508,12.7111,"[12.55, 12.71]",12.6008,12.617
2,3,1275,76,0.0596078,12.7111,13.3896,"[12.71, 13.39]",13.3362,13.248
3,4,1276,71,0.0556426,13.3896,13.4896,"[13.39, 13.49]",13.4375,13.4406
4,5,1275,63,0.0494118,13.4896,13.8081,"[13.49, 13.81]",13.5484,13.5716
5,6,1275,67,0.052549,13.8081,14.3415,"[13.81, 14.34]",14.2857,14.2563
6,7,1276,62,0.0485893,14.3415,14.4032,"[14.34, 14.4]",14.3867,14.3767
7,8,1275,63,0.0494118,14.4032,14.5094,"[14.4, 14.51]",14.4554,14.4584
8,9,1275,56,0.0439216,14.5094,15.3846,"[14.51, 15.38]",14.6429,14.7736
9,10,1276,84,0.0658307,15.3846,15.485,"[15.38, 15.48]",15.4429,15.4299
10,11,1275,75,0.0588235,15.485,15.5625,"[15.48, 15.56]",15.5062,15.5162
11,12,1275,62,0.0486275,15.5625,15.6851,"[15.56, 15.69]",15.625,15.6229
12,13,1276,70,0.0548589,15.6851,16.7252,"[15.69, 16.73]",16.4261,16.2584
13,14,1275,73,0.0572549,16.7252,16.8311,"[16.73, 16.83]",16.7883,16.7729
14,15,1275,77,0.0603922,16.8311,18.1818,"[16.83, 18.18]",16.9297,17.0115
15,16,1275,84,0.0658824,18.1818,22.7273,"[18.18, 22.73]",18.3884,18.7124
