vent,bin_display,n,drafts,draft_rate,argms_min,argms_max,x_interval,x_median,x_mean
0,1,1276,0,0,0.025,0.236842,"[0.025, 0.2368]",0.130435,0.131736
1,2,1275,0,0,0.24,0.5625,"[0.24, 0.5625]",0.375,0.384322
2,3,1275,2,0.00156863,0.5625,1.375,"[0.5625, 1.375]",0.857143,0.89626
3,4,1276,8,0.00626959,1.375,3.12121,"[1.375, 3.121]",2.15877,2.1869
4,5,1275,15,0.0117647,3.12121,5.65517,"[3.121, 5.655]",4.2973,4.31784
5,6,1275,17,0.0133333,5.65517,8.37838,"[5.655, 8.378]",6.94595,6.97583
6,7,1276,26,0.0203762,8.37931,11.2941,"[8.379, 11.29]",9.84848,9.8255
7,8,1275,32,0.025098,11.2973,14.3333,"[11.3, 14.33]",12.7941,12.7828
8,9,1275,41,0.0321569,14.3429,17.2121,"[14.34, 17.21]",15.7576,15.7651
9,10,1276,55,0.0431034,17.2162,20.0294,"[17.22, 20.03]",18.6,18.6045
10,11,1275,81,0.0635294,20.0294,22.6562,"[20.03, 22.66]",21.3548,21.3529
11,12,1275,81,0.0635294,22.6562,25.2188,"[22.66, 25.22]",24,23.9677
12,13,1276,117,0.0916928,25.2188,27.7333,"[25.22, 27.73]",26.4375,26.4527
13,14,1275,159,0.124706,27.7333,30.0312,"[27.73, 30.03]",28.8485,28.8721
14,15,1275,220,0.172549,30.0312,32.4848,"[30.03, 32.48]",31.2,31.221
15,16,1275,281,0.220392,32.4857,39.9429,"[32.49, 39.94]",34.1304,34.4001
