vent,bin_display,n,drafts,draft_rate,argms_min,argms_max,x_interval,x_median,x_mean,edge_lo,edge_hi,edge_interval
0,1,4715,8,0.00169671,0.025,2.51852,"[0.025, 2.519]",0.5,0.741085,0.025,2.51987,"[0.025, 2.52)"
1,2,1364,14,0.0102639,2.525,5,"[2.525, 5]",3.6129,3.67355,2.51987,5.01473,"[2.52, 5.015)"
2,3,1217,12,0.00986031,5.02941,7.5,"[5.029, 7.5]",6.32353,6.28611,5.01473,7.5096,"[5.015, 7.51)"
3,4,1068,28,0.0262172,7.51429,10,"[7.514, 10]",8.75,8.7803,7.5096,10.0045,"[7.51, 10)"
4,5,1074,16,0.0148976,10.0263,12.4839,"[10.03, 12.48]",11.224,11.2231,10.0045,12.4993,"[10, 12.5)"
5,6,1055,36,0.0341232,12.5,14.9722,"[12.5, 14.97]",13.75,13.7321,12.4993,14.9942,"[12.5, 14.99)"
6,7,1109,33,0.0297565,15,17.4865,"[15, 17.49]",16.2353,16.2352,14.9942,17.4891,"[14.99, 17.49)"
7,8,1137,47,0.0413369,17.5,19.973,"[17.5, 19.97]",18.72,18.7225,17.4891,19.9839,"[17.49, 19.98)"
8,9,1197,78,0.0651629,20,22.4722,"[20, 22.47]",21.2581,21.2418,19.9839,22.4788,"[19.98, 22.48)"
9,10,1256,76,0.0605096,22.48,24.973,"[22.48, 24.97]",23.8,23.7633,22.4788,24.9737,"[22.48, 24.97)"
10,11,1274,112,0.0879121,25,27.4667,"[25, 27.47]",26.2353,26.2302,24.9737,27.4685,"[24.97, 27.47)"
11,12,1346,167,0.124071,27.4706,29.963,"[27.47, 29.96]",28.7419,28.7288,27.4685,29.9634,"[27.47, 29.96)"
12,13,1311,224,0.170862,29.9643,32.4571,"[29.96, 32.46]",31.1562,31.1742,29.9634,32.4583,"[29.96, 32.46)"
13,14,881,179,0.203178,32.4688,34.9394,"[32.47, 34.94]",33.5625,33.5927,32.4583,34.9531,"[32.46, 34.95)"
14,15,347,91,0.262248,34.9688,37.4444,"[34.97, 37.44]",35.6176,35.8271,34.9531,37.448,"[34.95, 37.45)"
15,16,54,14,0.259259,37.4848,39.9429,"[37.48, 39.94]",38.0607,38.1556,37.448,39.9429,"[37.45, 39.94)"
