vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,7,2,0.285714,0.0822172,0.641071,-0.47325,-0.316052,"[-0.4733, -0.3161)",-0.366193,-0.340792,coarse,False,True
1,2,16,6,0.375,0.18481,0.613594,-0.316052,-0.158853,"[-0.3161, -0.1589)",-0.222064,-0.21457,coarse,False,True
2,3,40,11,0.275,0.161079,0.428353,-0.158853,-0.00165499,"[-0.1589, -0.001655)",-0.0713648,-0.0692926,coarse,False,False
3,4,65,12,0.184615,0.108888,0.295542,-0.00165499,0.155543,"[-0.001655, 0.1555)",0.0727724,0.0638058,coarse,False,False
4,5,36,9,0.25,0.137503,0.410708,0.155543,0.228121,"[0.1555, 0.2281)",0.188262,0.191987,fine_tail,True,False
5,6,16,2,0.125,0.0349767,0.360233,0.228121,0.300698,"[0.2281, 0.3007)",0.25704,0.255815,fine_tail,True,True
6,7,19,6,0.315789,0.153642,0.5399,0.300698,0.373275,"[0.3007, 0.3733)",0.334286,0.342331,fine_tail,True,True
7,8,28,2,0.0714286,0.0198116,0.226457,0.373275,0.445852,"[0.3733, 0.4459)",0.407622,0.403793,fine_tail,True,True
8,9,7,0,0,0,0.354339,0.445852,0.51843,"[0.4459, 0.5184)",0.483066,0.469015,fine_tail,True,True
9,10,10,1,0.1,0.0178757,0.404156,0.51843,0.591007,"[0.5184, 0.591)",0.552639,0.551307,fine_tail,True,True
10,11,3,0,0,0,0.561506,0.591007,0.663584,"[0.591, 0.6636)",0.607649,0.591812,fine_tail,True,True
11,12,1,0,0,0,0.793457,0.663584,0.736161,"[0.6636, 0.7362)",0.673307,0.673307,fine_tail,True,True
12,13,5,1,0.2,0.0362232,0.624472,0.736161,0.808738,"[0.7362, 0.8087)",0.752305,0.748309,fine_tail,True,True
13,14,2,0,0,0,0.657628,0.808738,0.881316,"[0.8087, 0.8813)",0.881316,0.881316,fine_tail,True,True
