vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,high_tj_tail,thin_cell
0,1,10,1,0.1,0.0178757,0.404156,-0.688693,-0.498789,"[-0.6887, -0.4988)",-0.577776,-0.553449,False,True
1,2,50,11,0.22,0.127538,0.352418,-0.498789,-0.308886,"[-0.4988, -0.3089)",-0.372636,-0.353339,False,False
2,3,123,22,0.178862,0.121188,0.255988,-0.308886,-0.118982,"[-0.3089, -0.119)",-0.191791,-0.180015,True,False
3,4,190,44,0.231579,0.177275,0.296522,-0.118982,0.0709219,"[-0.119, 0.07092)",-0.017248,-0.0165551,True,False
4,5,46,10,0.217391,0.122608,0.35574,0.0709219,0.105121,"[0.07092, 0.1051)",0.0892842,0.0894462,True,False
5,6,42,12,0.285714,0.171669,0.435675,0.105121,0.13932,"[0.1051, 0.1393)",0.118895,0.117005,True,False
6,7,28,8,0.285714,0.152538,0.470596,0.13932,0.173519,"[0.1393, 0.1735)",0.157503,0.15955,True,True
7,8,27,8,0.296296,0.158529,0.48481,0.173519,0.207718,"[0.1735, 0.2077)",0.190561,0.195429,True,True
8,9,35,6,0.171429,0.0810253,0.326826,0.207718,0.241917,"[0.2077, 0.2419)",0.224176,0.223579,True,False
9,10,26,6,0.230769,0.110337,0.420519,0.241917,0.276116,"[0.2419, 0.2761)",0.261233,0.261935,True,True
10,11,21,9,0.428571,0.244697,0.634538,0.276116,0.310315,"[0.2761, 0.3103)",0.29329,0.290939,True,True
11,12,27,5,0.185185,0.0818059,0.366991,0.310315,0.344514,"[0.3103, 0.3445)",0.325969,0.323374,True,True
12,13,18,6,0.333333,0.162786,0.562509,0.344514,0.378713,"[0.3445, 0.3787)",0.363156,0.361436,True,True
13,14,21,7,0.333333,0.171945,0.546269,0.378713,0.412912,"[0.3787, 0.4129)",0.398296,0.398915,True,True
14,15,22,2,0.0909091,0.0252949,0.278154,0.412912,0.447111,"[0.4129, 0.4471)",0.433592,0.435006,True,True
15,16,14,2,0.142857,0.0400931,0.399419,0.447111,0.48131,"[0.4471, 0.4813)",0.459759,0.453146,True,True
16,17,12,4,0.333333,0.138118,0.609382,0.48131,0.515509,"[0.4813, 0.5155)",0.497417,0.497637,True,True
17,18,14,1,0.0714286,0.0127219,0.314693,0.515509,0.549708,"[0.5155, 0.5497)",0.530933,0.529781,True,True
18,19,11,1,0.0909091,0.0162318,0.377365,0.549708,0.583907,"[0.5497, 0.5839)",0.564713,0.568118,True,True
19,20,3,0,0,0,0.561506,0.583907,0.618106,"[0.5839, 0.6181)",0.591554,0.595003,True,True
20,21,3,1,0.333333,0.0614903,0.792345,0.618106,0.652305,"[0.6181, 0.6523)",0.635186,0.640684,True,True
21,22,1,0,0,0,0.793457,0.652305,0.686504,"[0.6523, 0.6865)",0.685818,0.685818,True,True
23,24,1,0,0,0,0.793457,0.720703,0.754902,"[0.7207, 0.7549)",0.754902,0.754902,True,True
