vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,11,1,0.0909091,0.0162318,0.377365,-0.688693,-0.493741,"[-0.6887, -0.4937)",-0.570183,-0.533324,coarse,False,True
1,2,71,18,0.253521,0.166804,0.365541,-0.493741,-0.298789,"[-0.4937, -0.2988)",-0.369206,-0.361541,coarse,False,False
2,3,193,44,0.227979,0.17444,0.292136,-0.298789,-0.103837,"[-0.2988, -0.1038)",-0.184186,-0.172908,coarse,False,False
3,4,310,81,0.26129,0.215517,0.312907,-0.103837,0.091115,"[-0.1038, 0.09111)",0.00103441,-0.00195609,coarse,False,False
4,5,141,48,0.340426,0.267371,0.421945,0.091115,0.174088,"[0.09111, 0.1741)",0.126473,0.122746,fine_tail,True,False
5,6,125,33,0.264,0.194597,0.347476,0.174088,0.257062,"[0.1741, 0.2571)",0.211529,0.212414,fine_tail,True,False
6,7,104,35,0.336538,0.252987,0.431736,0.257062,0.340035,"[0.2571, 0.34)",0.293447,0.290617,fine_tail,True,False
7,8,80,24,0.3,0.210644,0.407684,0.340035,0.423009,"[0.34, 0.423)",0.379421,0.378607,fine_tail,True,False
8,9,67,14,0.208955,0.128756,0.32072,0.423009,0.505982,"[0.423, 0.506)",0.456716,0.449485,fine_tail,True,False
9,10,48,7,0.145833,0.0724816,0.271674,0.505982,0.588956,"[0.506, 0.589)",0.547099,0.548407,fine_tail,True,False
10,11,14,3,0.214286,0.0757125,0.475897,0.588956,0.671929,"[0.589, 0.6719)",0.616936,0.616222,fine_tail,True,True
11,12,6,1,0.166667,0.0300526,0.563509,0.671929,0.754902,"[0.6719, 0.7549)",0.726993,0.740258,fine_tail,True,True
