vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,10,4,0.4,0.168178,0.68733,-0.667163,-0.468469,"[-0.6672, -0.4685)",-0.513344,-0.494077,coarse,False,True
1,2,53,11,0.207547,0.120045,0.33458,-0.468469,-0.269775,"[-0.4685, -0.2698)",-0.328312,-0.314821,coarse,False,False
2,3,143,44,0.307692,0.237902,0.387544,-0.269775,-0.0710818,"[-0.2698, -0.07108)",-0.157724,-0.151418,coarse,False,False
3,4,287,72,0.250871,0.20423,0.304093,-0.0710818,0.127612,"[-0.07108, 0.1276)",0.0328745,0.0359933,coarse,False,False
4,5,100,25,0.25,0.175451,0.343046,0.127612,0.207847,"[0.1276, 0.2078)",0.170393,0.168244,fine_tail,True,False
5,6,114,29,0.254386,0.183352,0.341434,0.207847,0.288082,"[0.2078, 0.2881)",0.240109,0.237944,fine_tail,True,False
6,7,76,19,0.25,0.166288,0.35777,0.288082,0.368318,"[0.2881, 0.3683)",0.326967,0.321022,fine_tail,True,False
7,8,81,16,0.197531,0.125407,0.297046,0.368318,0.448553,"[0.3683, 0.4486)",0.411791,0.409996,fine_tail,True,False
8,9,61,12,0.196721,0.116277,0.313102,0.448553,0.528788,"[0.4486, 0.5288)",0.475919,0.468551,fine_tail,True,False
9,10,28,4,0.142857,0.0569891,0.314902,0.528788,0.609023,"[0.5288, 0.609)",0.560662,0.565514,fine_tail,True,True
10,11,17,1,0.0588235,0.0104601,0.269825,0.609023,0.689259,"[0.609, 0.6893)",0.634053,0.63761,fine_tail,True,True
11,12,9,1,0.111111,0.0198904,0.435006,0.689259,0.769494,"[0.6893, 0.7695)",0.714257,0.721538,fine_tail,True,True
12,13,6,0,0,0,0.390343,0.769494,0.849729,"[0.7695, 0.8497)",0.833972,0.84235,fine_tail,True,True
13,14,1,0,0,0,0.793457,0.849729,0.929964,"[0.8497, 0.93)",0.929964,0.929964,fine_tail,True,True
