bin,x_mean,n,y_rate
1,-0.9289253179531609,453,0.15673289183222958
2,-0.6611905777553776,452,0.19247787610619468
3,-0.5075026612411725,452,0.21238938053097345
4,-0.39948064614769596,453,0.25165562913907286
5,-0.30837851872786376,452,0.2588495575221239
6,-0.22004081136592654,452,0.26548672566371684
7,-0.13214915789364845,453,0.2803532008830022
8,-0.044690919659939564,452,0.3805309734513274
9,0.04063648329379237,452,0.39823008849557523
10,0.12048938892545759,453,0.3509933774834437
11,0.19937558327226315,452,0.39823008849557523
12,0.28082524722910834,452,0.3893805309734513
13,0.37428749362429814,453,0.39514348785871967
14,0.49428657138322063,452,0.5331858407079646
15,0.6448847679857203,452,0.5973451327433629
16,1.0485863025551112,453,0.6975717439293598
