bin,x_mean,n,y_rate
1,-0.4370426907695533,1854,0.017259978425026967
2,-0.2838332033369774,1823,0.02303894679100384
3,-0.21166331670051888,1855,0.016711590296495958
4,-0.16316485420225718,1832,0.024563318777292575
5,-0.11160772954813034,1891,0.033844526705446853
6,-0.07762416952057914,1777,0.030951041080472707
7,-0.04334071368130123,1877,0.043153969099627064
8,-0.01175573645679642,1843,0.04666304937601736
9,0.01952317031439913,1796,0.05011135857461024
10,0.05138759243920897,1840,0.04456521739130435
11,0.08836965463410358,1827,0.07115489874110564
12,0.1337240882981654,1885,0.05305039787798409
13,0.1864170127629219,1810,0.09005524861878453
14,0.25510017521980893,1828,0.09409190371991247
15,0.36648103954654343,1836,0.144880174291939
16,0.5971804492788632,1829,0.2536905412793876
