bin,x_mean,n,y_rate
1,-0.6284702374777683,36,0.0
2,-0.520109570411168,75,0.09333333333333334
3,-0.4569961284796345,131,0.0916030534351145
4,-0.3525793868795456,401,0.09975062344139651
5,-0.24863514967735342,1049,0.06387035271687322
6,-0.15487105265218737,1598,0.07133917396745933
7,-0.06421274393905539,2087,0.07187350263536177
8,0.027704674056072263,2032,0.07234251968503937
9,0.11756601094850792,1716,0.0780885780885781
10,0.21170956052574352,996,0.06124497991967871
11,0.3017263225513366,476,0.06512605042016807
12,0.39305643281004,374,0.08021390374331551
13,0.4874064979895715,120,0.09166666666666666
14,0.5755826202728043,64,0.0
15,0.6567969571519711,38,0.10526315789473684
16,0.7902953340953806,13,0.07692307692307693
