bin,x_mean,n,y_rate
1,-0.3998381437376675,701,0.0898716119828816
2,-0.2571343297397214,707,0.055162659123055166
3,-0.20193238926426146,700,0.08285714285714285
4,-0.1550488610760799,694,0.06340057636887608
5,-0.11915207262902089,703,0.07254623044096728
6,-0.08489417130317424,697,0.07604017216642754
7,-0.05337045065761915,703,0.07396870554765292
8,-0.02407224674046188,701,0.06419400855920114
9,0.009438171044713098,700,0.06571428571428571
10,0.039439918532701804,702,0.08262108262108261
11,0.07068223684684115,699,0.07439198855507868
12,0.10396482994065413,702,0.07692307692307693
13,0.14578116710934896,709,0.07898448519040903
14,0.19674973255032144,698,0.045845272206303724
15,0.27083449542076127,691,0.07814761215629522
16,0.4416774129034862,699,0.07439198855507868
