bin,x_mean,n,y_rate
1,-0.689439163608823,29,0.0
2,-0.5813773123973809,122,0.01639344262295082
3,-0.4663528870247929,443,0.01805869074492099
4,-0.35229803210923755,888,0.04279279279279279
5,-0.24071329122665308,1360,0.054411764705882354
6,-0.12836553701031495,1880,0.07074468085106383
7,-0.018987251075068507,1847,0.0752571737953438
8,0.0906788289826869,1958,0.07609805924412666
9,0.2072917131159797,1083,0.08125577100646353
10,0.3215178185554415,731,0.11627906976744186
11,0.43533525715009186,414,0.11352657004830918
12,0.5430802131034296,249,0.12449799196787148
13,0.6550406955058076,128,0.0703125
14,0.7746747186008219,45,0.06666666666666667
15,0.8735874710964893,22,0.13636363636363635
16,1.0029832682274695,7,0.0
