bin,x_mean,n,y_rate
1,-0.6777982070151557,13,0.0
2,-0.5855884934486091,54,0.16666666666666666
3,-0.4793157624845027,169,0.15976331360946747
4,-0.369215364138802,365,0.1726027397260274
5,-0.26707580805203257,978,0.11758691206543967
6,-0.1668742632835552,1692,0.10106382978723404
7,-0.06414347443066075,2255,0.07228381374722838
8,0.039255915623747806,2208,0.05344202898550725
9,0.14054921288323152,1648,0.040655339805825245
10,0.24557398705437186,926,0.04859611231101512
11,0.34787897827800823,448,0.04241071428571429
12,0.45283654066300766,274,0.032846715328467155
13,0.5565912261767247,114,0.017543859649122806
14,0.6631312818510573,40,0.025
15,0.7539908653071081,16,0.0
16,0.881651337310715,6,0.0
