bin,x_mean,n,y_rate
1,-0.7536478805644021,28,0.0
2,-0.626303868123792,61,0.06557377049180328
3,-0.516086547778099,218,0.009174311926605505
4,-0.38569740493376925,698,0.034383954154727794
5,-0.26262308155408653,1648,0.03155339805825243
6,-0.13819387506642292,2571,0.06339945546479969
7,-0.01609993901732383,2930,0.07303754266211604
8,0.1054417352469016,2191,0.07348242811501597
9,0.2323479522292182,1351,0.07105847520355292
10,0.3585408753410913,723,0.08713692946058091
11,0.4777766929122207,374,0.07754010695187166
12,0.6033992266930228,164,0.1524390243902439
13,0.7392437903396646,102,0.06862745098039216
14,0.8756213213725853,52,0.1346153846153846
15,0.9909639128649977,11,0.09090909090909091
16,1.1122621220470115,13,0.15384615384615385
