bin,x_mean,n,y_rate
1,-0.6195435242512111,15,0.0
2,-0.4953744234609931,97,0.0
3,-0.4083068428612194,231,0.03463203463203463
4,-0.30706876281730866,753,0.02656042496679947
5,-0.22001177474959463,2679,0.0335946248600224
6,-0.12776393502100308,4904,0.04934747145187602
7,-0.03603957472478625,7049,0.06653426017874876
8,0.05390856784650316,7182,0.07184628237259816
9,0.1454654109014674,4115,0.0787363304981774
10,0.24144677246062407,1361,0.09551800146950772
11,0.3333543076304999,708,0.09322033898305085
12,0.4310794437846131,215,0.11162790697674418
13,0.5283183623151911,46,0.2391304347826087
14,0.6112122006923567,19,0.10526315789473684
15,0.6945844487188158,15,0.0
16,0.8236369374503149,14,0.07142857142857142
