bin,x_mean,n,y_rate
1,-1.0783818496282773,1237,0.00889248181083266
2,-0.8874919170473778,1237,0.024252223120452707
3,-0.7614039785796423,1237,0.012934518997574777
4,-0.6583772688362128,1237,0.025869037995149554
5,-0.5524824734874603,1236,0.025080906148867314
6,-0.44391466773124655,1237,0.033144704931285365
7,-0.3317217586221962,1237,0.025869037995149554
8,-0.19525105922201583,1237,0.04688763136620857
9,-0.07128046462857021,1236,0.06310679611650485
10,0.05845862448748954,1237,0.09054163298302344
11,0.1760309521783782,1237,0.09700889248181083
12,0.3025607380485349,1237,0.08164915117219078
13,0.4552102816643355,1236,0.127831715210356
14,0.7120652959967209,1237,0.15602263540824576
15,0.9839304997701416,1237,0.22392886014551333
16,1.4277215870611284,1237,0.3112368633791431
