bin,x_mean,n,y_rate
1,-0.4602865360070873,821,0.02679658952496955
2,-0.3113708168050711,821,0.03288672350791717
3,-0.2439405989865223,821,0.02679658952496955
4,-0.19291382789523095,821,0.06455542021924482
5,-0.14845863464190706,821,0.057247259439707675
6,-0.10927490237752378,821,0.0730816077953715
7,-0.0740142151596885,821,0.057247259439707675
8,-0.03901685595345301,821,0.05602923264311815
9,-0.0039582156619351215,820,0.07560975609756097
10,0.031917482909861176,821,0.09622411693057248
11,0.06938337780500704,821,0.06942752740560293
12,0.11448266937322214,821,0.07064555420219244
13,0.16865223681551528,821,0.07917174177831912
14,0.23644206409221313,821,0.07673568818514007
15,0.33421565478450876,821,0.07917174177831912
16,0.5694136111747631,821,0.09378806333739342
