bin,x_mean,n,y_rate
1,-0.3107200974271506,1838,0.029379760609358
2,-0.20840227071470893,1838,0.03373231773667029
3,-0.1600728838061028,1837,0.04300489929232444
4,-0.12091910902183345,1838,0.051142546245919476
5,-0.09275093663608514,1838,0.057127312295973884
6,-0.06411355536883376,1837,0.05389221556886228
7,-0.03784862251457264,1839,0.05872756933115824
8,-0.014602649391184079,1837,0.0718562874251497
9,0.007364742535455988,1837,0.08655416439847577
10,0.02960916773175488,1838,0.06746463547334058
11,0.051573536572059125,1840,0.06684782608695652
12,0.07783579803611891,1835,0.07574931880108991
13,0.10550986758808482,1838,0.07834602829162132
14,0.14002217598359573,1837,0.07947740881872618
15,0.18810581712659,1838,0.08487486398258977
16,0.3267728275778946,1838,0.09738846572361262
