bin,x_mean,n,y_rate
1,-0.7409435796380761,412,0.007281553398058253
2,-0.4674074067745144,410,0.012195121951219513
3,-0.31956147263877244,407,0.02457002457002457
4,-0.2405138119804804,411,0.029197080291970802
5,-0.18489189426406707,405,0.024691358024691357
6,-0.1266160268994902,408,0.041666666666666664
7,-0.07587678295636498,408,0.04411764705882353
8,-0.025647181065366557,411,0.0413625304136253
9,0.022083188073452685,412,0.06310679611650485
10,0.0802406626595612,402,0.03731343283582089
11,0.13462784135893607,409,0.05867970660146699
12,0.1878542748830755,411,0.046228710462287104
13,0.27623345148329803,407,0.09336609336609336
14,0.39592100246660084,408,0.10784313725490197
15,0.5867706759503055,407,0.1769041769041769
16,1.0497528885790177,409,0.26405867970660146
