bin,x_mean,n,y_rate
1,-1.6727103405034212,6,0.16666666666666666
2,-1.3781952395839536,26,0.038461538461538464
3,-1.1349331436051306,194,0.005154639175257732
4,-0.8967875302409909,514,0.009727626459143969
5,-0.6574743595677275,651,0.02304147465437788
6,-0.4036563097870281,550,0.04909090909090909
7,-0.1420631931340005,575,0.057391304347826085
8,0.1036780451522431,610,0.08196721311475409
9,0.36404411460453595,465,0.0989247311827957
10,0.6074937818140157,305,0.12786885245901639
11,0.8760030283890851,195,0.1282051282051282
12,1.1302389815971472,155,0.2903225806451613
13,1.36600827571785,127,0.2047244094488189
14,1.6275909948112424,56,0.32142857142857145
15,1.899302454561068,64,0.40625
16,2.1163407389516733,37,0.2972972972972973
