bin,x_mean,n,y_rate
1,-1.1438131296814904,285,0.010526315789473684
2,-0.919419276136449,282,0.0070921985815602835
3,-0.7969974943235827,283,0.014134275618374558
4,-0.6881249994726208,283,0.024734982332155476
5,-0.5742173192613712,283,0.028268551236749116
6,-0.45550086702442194,283,0.024734982332155476
7,-0.32119190424833,283,0.0706713780918728
8,-0.18666717708543099,283,0.0636042402826855
9,-0.06486393846138863,283,0.04946996466431095
10,0.04650486129446502,283,0.0706713780918728
11,0.16818720136666981,283,0.09540636042402827
12,0.3080023868010559,283,0.0989399293286219
13,0.46284228557781143,283,0.12367491166077739
14,0.6798100418160858,283,0.10954063604240283
15,1.034839048856432,283,0.22614840989399293
16,1.6355215181644955,284,0.2852112676056338
