bin,x_mean,n,y_rate
1,-0.36978414855276415,410,0.09024390243902439
2,-0.25840694191844427,408,0.09558823529411764
3,-0.20611072818454776,408,0.08088235294117647
4,-0.1684396730362153,409,0.06356968215158924
5,-0.13548914095140255,408,0.0857843137254902
6,-0.10215927808294437,409,0.08801955990220049
7,-0.07223690577769938,408,0.058823529411764705
8,-0.040239833286008095,409,0.1100244498777506
9,-0.009224305113177194,408,0.07107843137254902
10,0.02572501584026383,409,0.06356968215158924
11,0.06120010137748819,408,0.04411764705882353
12,0.10171005558064289,409,0.0488997555012225
13,0.1450212043094445,408,0.041666666666666664
14,0.19831376241874663,409,0.0488997555012225
15,0.2751744186418044,408,0.041666666666666664
16,0.4513416890457795,409,0.039119804400977995
