bin,x_mean,n,y_rate
1,-2.6244930528380825,1,0.0
2,-2.15541872815127,2,0.0
3,-1.7776532413013406,6,0.0
4,-1.3317739750397106,14,0.2857142857142857
5,-0.9665517341510365,55,0.10909090909090909
6,-0.6280486022176555,225,0.11555555555555555
7,-0.31112060819676307,501,0.08982035928143713
8,0.04268043979353822,413,0.05569007263922518
9,0.3794152543025016,248,0.04838709677419355
10,0.7434558381103934,105,0.01904761904761905
11,1.0915372156988914,58,0.034482758620689655
12,1.4432196515632487,23,0.0
13,1.792928533653739,7,0.0
14,2.1341549594782983,2,0.0
15,2.5310101551788016,2,0.0
16,2.900710938474369,6,0.0
