bin,x_mean,n,y_rate
1,-1.2858934281268815,63,0.3968253968253968
2,-1.1147538851101306,109,0.3486238532110092
3,-0.9045842655148996,93,0.3010752688172043
4,-0.6947067894953003,90,0.1
5,-0.4894432360887621,130,0.023076923076923078
6,-0.296998020404602,159,0.031446540880503145
7,-0.09211518472595535,223,0.026905829596412557
8,0.105010669277185,222,0.009009009009009009
9,0.30704864348893074,167,0.017964071856287425
10,0.5051413669233454,107,0.0
11,0.6995276522033964,65,0.0
12,0.9207590544588539,58,0.0
13,1.1202688609414042,50,0.0
14,1.3201922040352172,38,0.0
15,1.5207233459642058,35,0.0
16,1.7298548603616306,23,0.043478260869565216
