bin,x_mean,n,y_rate
1,-0.7374344296981492,259,0.19305019305019305
2,-0.5404037190517528,403,0.13647642679900746
3,-0.2561200439100573,288,0.03125
4,0.015923165357969976,214,0.018691588785046728
5,0.27561753592380994,185,0.010810810810810811
6,0.5555525189154469,122,0.0
7,0.8233404626285878,64,0.0
8,1.105423330887373,45,0.0
9,1.3187735599711419,23,0.0
10,1.6463847972401826,19,0.0
11,1.9200638110759756,17,0.0
12,2.20953687082037,14,0.0
13,2.448985257183406,5,0.0
14,2.758356335808447,4,0.0
15,3.116048128401881,3,0.0
16,3.2871762188325655,3,0.0
