bin,x_mean,n,y_rate
1,-1.054037025298555,105,0.13333333333333333
2,-0.6641452873625318,104,0.10576923076923077
3,-0.5366268266642014,104,0.125
4,-0.44277872386238093,104,0.0673076923076923
5,-0.3714035389310005,104,0.07692307692307693
6,-0.2964069705064292,105,0.09523809523809523
7,-0.22610216331784727,104,0.07692307692307693
8,-0.14683991650365455,104,0.10576923076923077
9,-0.06400323044831574,104,0.10576923076923077
10,0.026588968657630718,104,0.019230769230769232
11,0.11225641204303527,105,0.05714285714285714
12,0.20654536428654158,104,0.07692307692307693
13,0.3238623689290818,104,0.028846153846153848
14,0.4687125600547065,104,0.038461538461538464
15,0.7228462615009535,104,0.019230769230769232
16,1.3537321135234102,105,0.01904761904761905
