bin,x_mean,n,y_rate
1,-0.8015788957085895,102,0.14705882352941177
2,-0.7206288534741467,102,0.19607843137254902
3,-0.6693258049558366,102,0.28431372549019607
4,-0.6182497773971608,102,0.13725490196078433
5,-0.5539488743040366,102,0.18627450980392157
6,-0.4754190307623385,102,0.0784313725490196
7,-0.3881939234001123,102,0.0392156862745098
8,-0.29483403031955385,102,0.0196078431372549
9,-0.18715605896410065,102,0.0392156862745098
10,-0.079011674934544,102,0.029411764705882353
11,0.06029643793248376,102,0.0
12,0.1957220417869464,102,0.00980392156862745
13,0.3426712374550557,102,0.00980392156862745
14,0.545968282466568,102,0.0
15,0.8813534276852768,102,0.0
16,1.8106191379403551,102,0.0
