bin,x_mean,n,y_rate
1,-1.594865298620822,75,0.04
2,-1.1587246849220043,74,0.04054054054054054
3,-0.9262189654049102,75,0.02666666666666667
4,-0.7672572873949812,74,0.013513513513513514
5,-0.5920859564032891,75,0.04
6,-0.4529179089675742,74,0.06756756756756757
7,-0.3274876023635629,75,0.05333333333333334
8,-0.18466352859410445,74,0.04054054054054054
9,-0.05212324615266335,74,0.05405405405405406
10,0.08658832302212986,75,0.05333333333333334
11,0.21821209615611076,74,0.14864864864864866
12,0.36884007674885844,75,0.09333333333333334
13,0.5634318395980847,74,0.14864864864864866
14,0.7917186494750796,75,0.18666666666666668
15,1.152971051813119,74,0.20270270270270271
16,1.7706849562082811,75,0.21333333333333335
