bin,x_mean,n,y_rate
1,-0.7924798080644051,105,0.14285714285714285
2,-0.7121664409074343,104,0.20192307692307693
3,-0.6605641740783728,104,0.2692307692307692
4,-0.6072137995169388,104,0.125
5,-0.5420973800235771,104,0.18269230769230768
6,-0.46395828935188105,105,0.08571428571428572
7,-0.3750155343409422,104,0.028846153846153848
8,-0.28312537050392594,104,0.019230769230769232
9,-0.1766999780383421,104,0.038461538461538464
10,-0.07258774248242617,104,0.038461538461538464
11,0.06603162481699133,105,0.0
12,0.19866868825314715,104,0.009615384615384616
13,0.3408471635034465,104,0.009615384615384616
14,0.5474885873055668,104,0.0
15,0.8703118398005714,104,0.0
16,1.7889876056198009,105,0.0
