bin,x_mean,n,y_rate
1,-0.9009251056924116,17,0.0
2,-0.7028503016365955,66,0.030303030303030304
3,-0.5202282623439791,252,0.027777777777777776
4,-0.34488580211197334,687,0.048034934497816595
5,-0.1707336720800389,1106,0.07142857142857142
6,0.014282208783259044,1129,0.08060230292294066
7,0.1863304613543658,768,0.08854166666666667
8,0.3715200381670005,428,0.0630841121495327
9,0.5578042099843455,220,0.07727272727272727
10,0.7434240995688424,90,0.07777777777777778
11,0.9113475919519348,35,0.08571428571428572
12,1.1017646884742833,14,0.07142857142857142
13,1.2718217204619973,8,0.5
14,1.4144301773103107,1,0.0
15,1.752758650628453,2,0.0
16,1.9345336040425527,2,0.0
