bin,x_mean,n,y_rate
1,-0.7972060325188299,46,0.021739130434782608
2,-0.6426722796801361,193,0.031088082901554404
3,-0.47881006025118833,461,0.06073752711496746
4,-0.3098346031228641,710,0.06338028169014084
5,-0.1394698720079905,911,0.07793633369923161
6,0.025002550498198012,899,0.08565072302558398
7,0.19735632221948535,615,0.07967479674796749
8,0.362027279452043,403,0.07196029776674938
9,0.5364680107759874,241,0.07883817427385892
10,0.7078486786647007,118,0.07627118644067797
11,0.8738017808857259,77,0.05194805194805195
12,1.0385604786972262,25,0.04
13,1.2233726083338305,21,0.0
14,1.4152476931332383,7,0.0
15,1.5214967360930742,1,0.0
16,1.831470288559824,1,0.0
