bin,x_mean,n,y_rate
1,-1.151345416724386,3,0.6666666666666666
2,-0.9505088661295712,3,0.0
3,-0.7242160061034654,20,0.3
4,-0.5650772263458854,142,0.2746478873239437
5,-0.3910216694103848,531,0.17325800376647835
6,-0.2190265732977188,877,0.10832383124287344
7,-0.04334481108180874,1196,0.04431438127090301
8,0.13204561139082882,1008,0.037698412698412696
9,0.30679138006042356,544,0.012867647058823529
10,0.4807692212728351,271,0.01845018450184502
11,0.669863839981301,82,0.012195121951219513
12,0.8439706954024513,39,0.02564102564102564
13,1.0682288357352663,8,0.0
14,1.2240482282073406,3,0.0
15,1.3439732486098597,1,0.0
16,1.668068770707155,1,0.0
