bin,x_mean,n,y_rate
1,-1.6760748603336004,1,0.0
2,-1.2495766991721502,3,0.0
3,-1.01477011679188,30,0.03333333333333333
4,-0.7327335338924926,114,0.08771929824561403
5,-0.4933264473577815,432,0.027777777777777776
6,-0.2508376563452779,1372,0.053206997084548104
7,-0.009456626188335582,1359,0.08462104488594555
8,0.23546081690143805,768,0.07552083333333333
9,0.49885048270981425,421,0.10926365795724466
10,0.7511984271330556,200,0.05
11,0.9982345414229078,69,0.08695652173913043
12,1.2483633896007238,31,0.1935483870967742
13,1.5208122254337753,9,0.2222222222222222
14,1.718140137946613,1,0.0
15,2.4248930600989955,2,0.0
