bin,x_mean,n,y_rate
1,-0.7238795609281361,79,0.02531645569620253
2,-0.5403742704140494,341,0.03225806451612903
3,-0.3451479180864944,798,0.06140350877192982
4,-0.14988610136405567,1193,0.08466051969823973
5,0.03891238404694114,1094,0.0712979890310786
6,0.2400390385628836,594,0.07575757575757576
7,0.43786975331947353,366,0.07650273224043716
8,0.6348561173970884,194,0.061855670103092786
9,0.8251027622530829,100,0.05
10,1.0464055502831775,34,0.11764705882352941
11,1.2344968678929717,19,0.05263157894736842
12,1.4262933955507826,11,0.2727272727272727
13,2.107963308894666,1,0.0
14,2.3485623483966824,1,0.0
