bin,x_mean,n,y_rate
1,-0.5887657075920248,302,0.023178807947019868
2,-0.40548258750850946,302,0.052980132450331126
3,-0.32303036236157967,301,0.053156146179401995
4,-0.2582674506258627,302,0.056291390728476824
5,-0.20753641331430608,301,0.046511627906976744
6,-0.15661929688340956,302,0.08278145695364239
7,-0.10617830463222704,301,0.08637873754152824
8,-0.05431501073210622,302,0.0728476821192053
9,-0.006566721345494766,301,0.09634551495016612
10,0.041279937038397475,302,0.076158940397351
11,0.09088989387483762,301,0.06976744186046512
12,0.14606108777563173,302,0.0728476821192053
13,0.21190425200125593,301,0.09634551495016612
14,0.30461372997964903,302,0.08940397350993377
15,0.43320966683362266,301,0.059800664451827246
16,0.7320181059064464,302,0.08940397350993377
