bin,x_mean,n,y_rate
1,-0.6506859113594826,296,0.033783783783783786
2,-0.4858272864827667,296,0.04054054054054054
3,-0.3895158839189965,295,0.07796610169491526
4,-0.3118125452476784,296,0.06418918918918919
5,-0.24672172045446006,295,0.06779661016949153
6,-0.18216209884931028,296,0.06756756756756757
7,-0.1286161681944749,295,0.08813559322033898
8,-0.07628749629136658,296,0.08108108108108109
9,-0.02552958808110535,295,0.061016949152542375
10,0.030612174948906053,296,0.125
11,0.09154255646963372,295,0.07796610169491526
12,0.1614676559405067,296,0.09797297297297297
13,0.24369452816721374,295,0.0576271186440678
14,0.3421087173636381,296,0.06756756756756757
15,0.4882584833213753,295,0.0847457627118644
16,0.8229727564845103,296,0.05405405405405406
