bin,x_mean,n,y_rate
1,-0.5421693038897328,296,0.24662162162162163
2,-0.38196730682604857,296,0.16554054054054054
3,-0.3049300437916107,295,0.15254237288135594
4,-0.2368580945819329,296,0.10472972972972973
5,-0.1799485238201418,295,0.09491525423728814
6,-0.12618304668751673,296,0.060810810810810814
7,-0.08183756233943655,295,0.04745762711864407
8,-0.03790658969851069,296,0.05067567567567568
9,0.008377857947458581,295,0.03728813559322034
10,0.05193644318842295,296,0.02702702702702703
11,0.09955493352415844,295,0.03728813559322034
12,0.15397645621643366,296,0.04391891891891892
13,0.20897854570575233,295,0.03389830508474576
14,0.28237750173209314,296,0.013513513513513514
15,0.39175587254272887,295,0.006779661016949152
16,0.6303514826154256,296,0.02364864864864865
