bin,x_mean,n,y_rate
1,-0.6898263974508313,301,0.04318936877076412
2,-0.44316580137690803,301,0.036544850498338874
3,-0.34755440970434465,301,0.03986710963455149
4,-0.284800124167532,300,0.043333333333333335
5,-0.23145350739628623,301,0.07973421926910298
6,-0.18128706602267267,301,0.03986710963455149
7,-0.13230673869855025,300,0.06666666666666667
8,-0.08151811546731823,301,0.06312292358803986
9,-0.02844015566304598,301,0.10631229235880399
10,0.03385874078432458,300,0.10666666666666667
11,0.09322434510798717,301,0.07641196013289037
12,0.16256684712695654,301,0.07641196013289037
13,0.24826241911866692,300,0.06
14,0.3728935004381853,301,0.10963455149501661
15,0.5403890641647546,301,0.10299003322259136
16,0.9002868642167616,301,0.07641196013289037
