bin,x_mean,n,y_rate
1,-0.4609912673676686,520,0.015384615384615385
2,-0.31280946230889994,520,0.046153846153846156
3,-0.24815369598563397,519,0.05973025048169557
4,-0.2003235054659392,520,0.046153846153846156
5,-0.1588958060720458,519,0.0905587668593449
6,-0.11770942183228274,520,0.07692307692307693
7,-0.077873200553809,519,0.07129094412331406
8,-0.04158624200492607,520,0.06923076923076923
9,-0.002975701667018584,519,0.0674373795761079
10,0.03522636241502738,520,0.09807692307692308
11,0.07799139718533912,519,0.08477842003853564
12,0.12404703394841952,520,0.09038461538461538
13,0.17418536591478648,519,0.07514450867052024
14,0.2337800196893705,520,0.06346153846153846
15,0.3164213649948923,519,0.07707129094412331
16,0.5775669663563001,520,0.10961538461538461
