vent,n,draft_rate,poolq_mean,poolq_median
0,4543,0.0013207131851199648,-0.6679045158284357,-0.6411995654019856
1,4543,0.009024873431653093,-0.40227638792268333,-0.39757020432109685
2,4543,0.015408320493066256,-0.2846233596584622,-0.2832824725912921
3,4543,0.014747963900506273,-0.2093333715608009,-0.20849611884526395
4,4543,0.014307726172132952,-0.15177156603033234,-0.15142662121842004
5,4543,0.015848558221439577,-0.1012842608797227,-0.101181115786651
6,4543,0.01672903367818622,-0.055326884453805285,-0.05502932937779333
7,4543,0.017829627999119524,-0.01179856541241476,-0.011730004562981396
8,4543,0.020471054369359455,0.030320167104382588,0.030565209724884416
9,4543,0.01937046004842615,0.07201812895742697,0.07183263065938834
10,4543,0.017169271406559543,0.11613999637737607,0.11568844787332992
11,4543,0.018269865727492847,0.16321239151372546,0.1626616829455661
12,4543,0.02223200528285274,0.21710254401668208,0.21664174425086632
13,4543,0.017829627999119524,0.2832243184896386,0.28225673217626784
14,4543,0.018710103455866166,0.37617690125614817,0.37341641339302745
15,4542,0.01078819903126376,0.600609317623658,0.5626697013691064
