bin,x_mean,n,y_rate
1,-1.5829730477511668,32,0.125
2,-1.253782769704651,94,0.20212765957446807
3,-0.9631418585103372,209,0.2727272727272727
4,-0.6348898561691444,311,0.24437299035369775
5,-0.3192146659155934,301,0.37209302325581395
6,0.01981892648681692,296,0.33783783783783783
7,0.33583611760832627,231,0.4155844155844156
8,0.6583924108702577,132,0.5757575757575758
9,0.9953149166176605,86,0.5232558139534884
10,1.3223209515720027,86,0.5116279069767442
11,1.6370214294629415,36,0.6666666666666666
12,2.0296641666923776,13,0.7692307692307693
13,2.418602208422296,6,0.3333333333333333
14,2.624442863078805,8,0.375
15,3.4830063700990936,1,1.0
