bin,x_mean,n,y_rate
1,-1.3640525905766623,6,0.3333333333333333
2,-1.1876711781719775,19,0.2631578947368421
3,-1.0075351570996607,22,0.13636363636363635
4,-0.8006229820212529,48,0.16666666666666666
5,-0.652356339560061,97,0.25773195876288657
6,-0.4667314779264748,137,0.2846715328467153
7,-0.2917613270378172,286,0.28321678321678323
8,-0.11859669797360019,275,0.3236363636363636
9,0.06481152826961842,267,0.40823970037453183
10,0.24052682220864777,299,0.3779264214046823
11,0.4100778800788438,173,0.43352601156069365
12,0.5927411759912443,121,0.5619834710743802
13,0.7552512742487182,86,0.5465116279069767
14,0.9381952818514873,28,0.5357142857142857
15,1.1041863693442866,11,0.7272727272727273
16,1.3310850259116678,4,1.0
