bin,x_mean,n,y_rate
1,-3.3386563188213394,1,0.0
2,-2.8054927800363254,1,1.0
3,-2.0505085363144646,2,0.0
4,-1.7981827090089972,5,0.8
5,-1.470723467041416,16,0.375
6,-1.1084996703163927,46,0.30434782608695654
7,-0.7489104075990454,70,0.5142857142857142
8,-0.4255091457719079,157,0.42038216560509556
9,-0.08038087490653453,160,0.3875
10,0.2345928259892453,140,0.5642857142857143
11,0.5983807629158773,67,0.6119402985074627
12,0.9085734504841231,37,0.7567567567567568
13,1.287158060774386,11,0.7272727272727273
14,1.5916082736973716,6,0.6666666666666666
15,2.035171554346931,2,1.0
