bin,x_mean,n,y_rate
1,-3.684307456653504,1,0.0
2,-2.0473323876103398,6,0.5
3,-1.6199712355989546,23,0.391304347826087
4,-1.2160799297693436,55,0.2727272727272727
5,-0.8780326962313585,147,0.30612244897959184
6,-0.5185658515181959,292,0.3527397260273973
7,-0.15286397077266928,464,0.3879310344827586
8,0.18428286306053288,445,0.3752808988764045
9,0.5506218620027,265,0.37735849056603776
10,0.9152170928440483,102,0.3333333333333333
11,1.3111644426555271,32,0.25
12,1.6858978396714854,8,0.5
13,2.150229167188032,2,0.5
