bin,x_mean,n,y_rate
1,-1.4707364292094487,46,0.34782608695652173
2,-0.9711703699555307,45,0.3111111111111111
3,-0.705769927937727,45,0.6444444444444445
4,-0.560732399300448,45,0.4222222222222222
5,-0.45981645120876896,45,0.4222222222222222
6,-0.3629662603207566,45,0.4444444444444444
7,-0.26281500994569484,45,0.37777777777777777
8,-0.15857523668192752,45,0.37777777777777777
9,-0.069586628027362,45,0.35555555555555557
10,0.024058269619735003,45,0.37777777777777777
11,0.10929304707627299,45,0.5111111111111111
12,0.20027527478565396,45,0.5333333333333333
13,0.32320763930151564,45,0.6222222222222222
14,0.4951438366616821,45,0.6888888888888889
15,0.697989793061321,45,0.6222222222222222
16,1.1711552486028154,45,0.7333333333333333
