bin,x_mean,n,y_rate
1,-1.485365768974353,116,0.23275862068965517
2,-1.013384622179833,115,0.20869565217391303
3,-0.8417442202860325,115,0.25217391304347825
4,-0.6882612668809387,115,0.3130434782608696
5,-0.5070350870527466,115,0.3217391304347826
6,-0.35229793334575393,115,0.40869565217391307
7,-0.22156706509730434,115,0.2608695652173913
8,-0.11714184324862509,115,0.30434782608695654
9,-0.021036209179181895,115,0.30434782608695654
10,0.08029606395419416,115,0.41739130434782606
11,0.18795143618537252,115,0.3652173913043478
12,0.30590790902839793,115,0.4260869565217391
13,0.4607622103874061,115,0.4608695652173913
14,0.6558297743314154,115,0.391304347826087
15,0.8895410787339484,115,0.5304347826086957
16,1.3320998285665708,116,0.6120689655172413
