bin,x_mean,n,y_rate
1,-1.315319571626928,116,0.3448275862068966
2,-0.8337537840178089,115,0.26956521739130435
3,-0.6387066156399175,115,0.30434782608695654
4,-0.4747642642200004,115,0.3565217391304348
5,-0.3591708301139091,115,0.40869565217391307
6,-0.2571728581591074,115,0.391304347826087
7,-0.14320766414389807,115,0.43478260869565216
8,-0.06289595539919234,115,0.34782608695652173
9,0.01065713228946774,115,0.391304347826087
10,0.08639204303440709,115,0.3826086956521739
11,0.17170420457335164,115,0.3391304347826087
12,0.2798641404846271,115,0.391304347826087
13,0.3928403423459729,115,0.391304347826087
14,0.531615539657676,115,0.3652173913043478
15,0.7007802456302408,115,0.391304347826087
16,1.1256977409045474,116,0.3017241379310345
