bin,x_mean,n,y_rate
1,-1.2727472896404755,70,0.17142857142857143
2,-0.8335388385516169,70,0.22857142857142856
3,-0.6453949574725079,70,0.2
4,-0.5152587243296178,70,0.2857142857142857
5,-0.397602745780131,70,0.32857142857142857
6,-0.2856565990177181,70,0.22857142857142856
7,-0.19025023490556586,70,0.3142857142857143
8,-0.10392516625647723,70,0.3
9,-0.022949396497485855,70,0.32857142857142857
10,0.06852962661232881,70,0.24285714285714285
11,0.15563782025708345,70,0.32857142857142857
12,0.2410568140877111,70,0.34285714285714286
13,0.35362499689965793,70,0.3142857142857143
14,0.4670472573691138,70,0.22857142857142856
15,0.63724022533319,70,0.35714285714285715
16,1.0727677412613754,70,0.34285714285714286
