bin,x_mean,n,y_rate
1,-1.4476123162303813,46,0.32608695652173914
2,-1.0126776890673244,45,0.26666666666666666
3,-0.8073939108572716,45,0.4444444444444444
4,-0.6016276954576825,45,0.3333333333333333
5,-0.47995794708810374,45,0.4444444444444444
6,-0.36162626994777614,45,0.4222222222222222
7,-0.27329263781856594,45,0.5777777777777777
8,-0.17970406084878587,45,0.5111111111111111
9,-0.0954140931353925,45,0.5333333333333333
10,-0.006699704518342213,45,0.4444444444444444
11,0.11668913153454437,45,0.4888888888888889
12,0.23373647571099054,45,0.5111111111111111
13,0.3720978573572852,45,0.4666666666666667
14,0.562916873616316,45,0.7333333333333333
15,0.7948203420863895,45,0.6222222222222222
16,1.1609233127345735,45,0.6666666666666666
