vent,n,draft_rate,perf_mean,perf_median
0,1425,0.0,-1.9466154396794892,-1.8565906540644461
1,1425,0.0,-1.3911291683803044,-1.382452776682602
2,1425,0.0,-1.1001011548656585,-1.09884222194436
3,1424,0.0,-0.8684557965327173,-0.8703235162189267
4,1425,0.0,-0.662328960886119,-0.6608768458166061
5,1425,0.0014035087719298245,-0.4734885983558471,-0.47343017171065943
6,1424,0.002106741573033708,-0.2956055463283238,-0.29765267045616817
7,1425,0.0035087719298245615,-0.11981850294842548,-0.11913476443910101
8,1425,0.00631578947368421,0.0545171960656533,0.05316448215787747
9,1424,0.014747191011235955,0.23538447560904335,0.23557423676967487
10,1425,0.015438596491228071,0.42051015265449765,0.4210620525868564
11,1425,0.025964912280701753,0.6266436849925148,0.6251037254150783
12,1424,0.04353932584269663,0.8525370616474033,0.8524848631855544
13,1425,0.06526315789473684,1.1293848644901963,1.1297813783357387
14,1425,0.09333333333333334,1.4855136289455495,1.4783464787733283
15,1424,0.1601123595505618,2.2371069600037656,2.0885814361985897
