vent,n,draft_rate,perf_mean,perf_median
0,1191,0.0,-1.4951367399698694,-1.3904573197415266
1,1190,0.0,-0.9994555825491336,-0.9595780225150128
2,1191,0.0,-0.6480519912185227,-0.6432508627537251
3,1190,0.0,-0.46496626431412114,-0.46347602049379233
4,1190,0.0,-0.3188391643395317,-0.3178749556337942
5,1191,0.0008396305625524769,-0.19687401988434522,-0.19749071749093206
6,1190,0.0016806722689075631,-0.08449309552837389,-0.08406571040722224
7,1190,0.0025210084033613447,0.026575957261236828,0.026105746633385045
8,1191,0.006717044500419815,0.13573183724050272,0.13861649297307915
9,1190,0.012605042016806723,0.2418155471221935,0.24142444388904244
10,1191,0.020151133501259445,0.3562172056109334,0.35599406115102344
11,1190,0.023529411764705882,0.4798563066729081,0.48052377351280506
12,1190,0.04453781512605042,0.6158264432695401,0.6155342775699628
13,1191,0.06465155331654072,0.7847358182380295,0.7832107338583821
14,1190,0.10084033613445378,1.0148989884559183,1.0082584589220063
15,1190,0.15378151260504203,1.8102788182894434,1.4744605394663912
