vent,n,draft_rate,perf_mean,perf_median
0,533,0.0,-1.5253834709643868,-1.5001220082207436
1,532,0.0,-1.1330640560933103,-1.1304246671079654
2,532,0.0,-0.7248586565558742,-0.7165683592500441
3,532,0.0,-0.5212552089882919,-0.5233526880695895
4,532,0.0,-0.3593778833703484,-0.36142318867746587
5,532,0.0018796992481203006,-0.21683413281519562,-0.21604495884772595
6,532,0.0037593984962406013,-0.09049633499450549,-0.08922606698678487
7,532,0.007518796992481203,0.029947454777593238,0.02981713363693444
8,533,0.016885553470919325,0.15241076813410834,0.15376325753663247
9,532,0.03759398496240601,0.2714257508042301,0.2739278353051278
10,532,0.046992481203007516,0.39728717831053567,0.3965122485834904
11,532,0.08646616541353383,0.527293838100725,0.524848652154824
12,532,0.09774436090225563,0.6830930837268381,0.680209417647907
13,532,0.17481203007518797,0.8706921249779598,0.8672165330539428
14,532,0.20112781954887218,1.1053023389236079,1.0995245110462113
15,532,0.29135338345864664,2.0124569959468483,1.5875541005268254
