vent,n,draft_rate,perf_mean,perf_median
0,3184,0.0,-2.3962607539050813,-1.8694721311597169
1,3183,0.0,-0.9368040258746646,-0.9159258392567713
2,3184,0.0,-0.6241360805704599,-0.6176390323739716
3,3183,0.0,-0.43911762392157294,-0.4378253168404628
4,3184,0.0,-0.29719404714387676,-0.297125041736623
5,3183,0.0,-0.18044419737566228,-0.1804505321545393
6,3184,0.0,-0.07381655107407219,-0.07360474542458571
7,3183,0.00031416902293433867,0.028042113484322652,0.028434575672130986
8,3183,0.0,0.12661425030859272,0.12815487667491332
9,3184,0.0,0.22367081014146148,0.22278892690815305
10,3183,0.0006283380458686773,0.3236902351265032,0.32375647621565645
11,3184,0.001256281407035176,0.43074317540885343,0.43092968816366495
12,3183,0.0034558592522777255,0.5540886450674712,0.5520304906563411
13,3184,0.006909547738693468,0.7029319286932376,0.7007539180219979
14,3183,0.029846057178762174,0.9100336640401568,0.9057862676396257
15,3183,0.11592836946277098,1.6540101726216005,1.2862318022081745
